prompt,answer
How does propyzamide influence NF-κB–C/EBPβ signalling and T cell differentiation?,"Propyzamide enhances NF-κB–C/EBPβ signalling, leading to increased TH1 and TH17 cell differentiation."
What is the significance of propyzamide in the context of IBD and environmental exposures?,"Propyzamide, a common herbicide, interferes with AHR-dependent anti-inflammatory mechanisms, potentially impacting IBD pathogenesis."
How does propyzamide interact with the physiological regulation of intestinal immune cell responses?,Propyzamide disrupts AHR-dependent anti-inflammatory mechanisms that regulate intestinal immune cell responses.
What does the study reveal about the relationship between AHR and NF-κB in intestinal inflammation?,"The study suggests that propyzamide disrupts the AHR-mediated suppression of NF-κB, leading to increased intestinal inflammation."
What are the implications of propyzamide exposure on human health?,"Propyzamide exposure, particularly in communities with higher groundwater contamination, could have significant health implications."
How does propyzamide affect the transcriptional activity of the VCAM1 promoter?,"Propyzamide increases the transcriptional activity of the VCAM1 promoter, influencing T cell adhesion and recruitment."
What does the study suggest about the role of C/EBPβ in intestinal inflammation?,C/EBPβ plays a crucial role in intestinal inflammation by regulating pro-inflammatory pathways and T cell differentiation.
How does propyzamide influence microtubule stability and NF-κB activation?,"While propyzamide does not destabilize mammalian microtubules, it releases NF-κB from AHR suppression, promoting inflammation."
What is the role of C/EBPβ in DCs and T cells as identified in the study?,"C/EBPβ in DCs and T cells regulates TNBS-induced intestinal inflammation, influencing pro-inflammatory gene expression."
How does propyzamide administration impact the small intestine immune cells?,Propyzamide administration does not affect the number or transcriptional programs of small intestine immune cells without anti-CD3.
What are the broader implications of the study's findings on IBD pathogenesis?,The study's findings suggest that environmental factors like propyzamide play a significant role in the pathogenesis of IBD.
"What strains of zebrafish were used in this study, and where were they obtained?","AB wild-type, lck:gfp, and rag1-mutant strains were obtained from the Zebrafish International Resource Center. rag2-mutant strains were donated by L. Zon from Boston Children’s Hospital."
How were the zebrafish embryos and larvae maintained?,"The collection of embryos and maintenance of larvae followed procedures described in previous studies (referenced as 5, 8, 51)."
What sources provided the mice used in the study?,"Mice strains were obtained from the Jackson Laboratory and A. Mildner. Germ-free mice were bred in-house at the Massachusetts Host-Microbiome Center, Brigham and Women's Hospital."
Where were the animals housed and kept?,"Animals were kept in a pathogen-free facility at Hale Building for Transformative Medicine, Brigham and Women’s Hospital. Germ-free mice were housed in isolators at a facility dedicated to germ-free mice."
What was the procedure for inducing intestinal inflammation in zebrafish?,Intestinal inflammation was induced in 7-day-post-fertilization (d.p.f.) zebrafish larvae by incubating them in E3 medium with 25 μg/ml TNBS for 24-72 hours.
How were candidate chemicals tested on zebrafish?,"Zebrafish were placed in 48-well plates with 3 fish per well. Chemicals were diluted in DMSO to 0.2, 1, 5, or 20 μM. NOS inhibitor and FICZ were used as positive controls."
Describe the method used to analyze gut architecture in zebrafish after induction.,"After induction, zebrafish were anesthetized, transferred to glass slides, and positioned on their side. Their gut architecture was photographed under a microscope and scored for inflammation using a 0–5 scoring system."
What chemicals and inhibitors were used in this study?,"Chemicals used included S-methyl-l-thiocitrulline acetate (NOS inhibitor), propyzamide, FICZ, lenaldekar, Bay11-7082, and Triptolide. All were dissolved in DMSO at a stock concentration of 20 mM."
What is the source of the ToxCast data used in this study?,"The ToxCast data, including information about 9,298 chemicals and 1,569 bioassays, was downloaded from the EPA website."
How were the initial subset of chemicals selected for analysis?,"An initial subset of 936 chemicals was analyzed for their activity in 49 bioassays, selected based on their association with genes linked to IBD pathogenesis."
What criteria were used to select the 111 chemicals for evaluation in the TNBS-induced zebrafish model?,The 111 chemicals were selected based on known human exposures and high chemical production volumes.
What were the results of the in vivo zebrafish screen?,"The screen identified 49 experimentally validated chemicals, including 13 IBD-promoting, 4 IBD-ameliorating, and 32 with no effect."
What approach was used to identify additional chemicals predicted to worsen IBD?,A machine-learning-based approach using ToxCast AC50 information was applied to identify additional chemicals predicted to worsen IBD.
What criteria were used to filter the chemicals and bioassays in the dataset?,"Criteria included correlation with experimentally validated chemicals, bioassays with less than 75% missing data, and chemicals/bioassays with less than 75% missing values in the ToxCast AC50 matrix."
How was the dataset for the testing set determined?,"The original AC50 matrix was reduced to 297 chemicals and 233 bioassays, referred to as the testing set."
What method was used to handle missing values in the selected data?,Missing values were imputed using the k-nearest neighbour method.
How was the training set for the machine learning model defined?,"The training set was composed of 13 IBD-promoting chemicals, 4 IBD-ameliorating chemicals, and 13 'no effect' chemicals."
What method was used to identify the bioassays most relevant for the three-class classification?,"A Kruskal–Wallis test was performed to identify bioassays that could group the chemicals into IBD-promoting, IBD-ameliorating, and IBD-no effect categories."
How was the Random Forest (RF) model used in this study?,The RF model was trained on the IBD bioactivity features of the 30 training set chemicals to identify candidate IBD-promoting chemicals in the test set.
What algorithm was used to rank the predicted IBD-promoting chemicals?,A relevance score for each predicted chemical was generated using a Random Walk with Restart (RWR) algorithm.
What criteria were used to consider chemicals as candidate IBD-promoting chemicals?,Chemicals with high relevance scores were considered candidate IBD-promoting chemicals and were ranked accordingly.
How were the top predicted chemicals validated?,The top 20 predicted chemicals were validated using the TNBS-induced model of intestinal inflammation in zebrafish.
What method was used to identify gene targets activated by propyzamide?,Gene targets activated by propyzamide were identified using the ToxCast database of assays and visualized using the NetworkAnalyst tool.
What procedure was used to induce colitis with TNBS in mice?,"Mice were presensitized with 1% TNBS mixed in acetone/olive oil solution, and colitis was induced with 2.5% TNBS in 50% ethanol by rectal injection 7 days later."
How was propyzamide administered to mice?,"Propyzamide was administered intraperitoneally for 3 days until TNBS presensitization, followed by oral gavage for 6 consecutive days until TNBS rectal challenge."
What was the process for VCAM1 blockade in mice?,"VCAM1 blockade was achieved by administering anti-mouse VCAM-1 antibody intraperitoneally daily for 5 consecutive days, starting on the same day as TNBS presensitization."
Describe the method of inducing enteritis with anti-CD3-antibody in mice.,"Enteritis was induced by administering propyzamide for 7 days, followed by an injection of anti-CD3 monoclonal antibody. Enteropooling and enteritis were evaluated through various measurements and assays."
What was involved in the histological analysis of colon tissues?,"Colon tissues were fixed in Bouin’s solution, processed for embedding, sectioning, and H&E staining, and scored in a blinded manner."
How were colon-infiltrating cells isolated for analysis?,"Mononuclear cells were isolated from the colon after flushing and digestion with a collagenase and DNase I buffer, then homogenized and processed with a CD45 magnetic beads isolation kit."
What process was followed in the flow cytometry analysis?,"Cells were restimulated, stained for FACS, and fixed for intracellular staining. Various antibodies were used to identify specific cell types and proteins."
Describe the pharmacokinetic analysis of propyzamide in mice.,"Pharmacokinetic parameters were determined after a single oral administration of propyzamide, with plasma, faeces, and urine samples collected at specific intervals for analysis."
How was RNA extracted and processed for qPCR in the study?,"RNA was extracted using the RNAeasy kit, and cDNA was prepared for qPCR. TaqMan probes and Fast Universal PCR Master Mix were used for gene expression analysis."
What was the method for inducing colitis with TNBS in mice?,"Colitis was induced in mice by first shaving them on the back, presensitizing with TNBS, and then administering TNBS by rectal injection after 7 days."
What was the schedule and dosage for propyzamide administration in mice?,"Mice received 100 mg/kg propyzamide intraperitoneally for 3 days, followed by oral gavage for 6 days, in conjunction with TNBS treatment for colitis induction."
How was anti-CD3-antibody-induced enteritis performed in the study?,"Enteritis was induced by administering propyzamide for 7 days, followed by an injection of anti-CD3 monoclonal antibody, with subsequent measurements and analysis of intestinal segments."
What techniques were used for histological analysis of colon tissues?,"Colon tissues were fixed, embedded, sectioned, stained with H&E, and scored for histological changes using blinded analysis."
Describe the isolation process of colon-infiltrating mononuclear cells.,"Colon-infiltrating mononuclear cells were isolated by flushing the colon, incubating it in a digesting buffer, homogenizing, and then using a CD45 magnetic beads isolation kit."
Explain the flow cytometry procedure used in the study.,"Cells were restimulated, stained for specific markers, and fixed for intracellular staining. Flow cytometry was performed to analyze the expression of various immune markers and proteins."
What was the methodology used for pharmacokinetic study of propyzamide?,"The pharmacokinetics of propyzamide were assessed in mice after oral administration, with collection and analysis of plasma, faeces, and urine samples over time."
How was qPCR utilized in this research?,"RNA was extracted and converted to cDNA, followed by qPCR using TaqMan probes to analyze gene expression related to the study’s objectives."
What was the RNA-seq procedure for mice after TNBS-colitis induction?,"Mice were euthanized, and RNA was isolated from colon cells using the RNeasy Mini kit with on-column DNase I digestion. RNA was sequenced using the Digital Gene Expression by Broad Technology Labs."
How were RNA-seq data processed in this study?,"RNA-seq data were aligned to the GRCm38 Mouse Genome using STAR and quantified using RSEM and Kallisto. The data were imported into R, and differential expression analysis was performed using DESeq2."
What method was used for pathway and statistical analysis of RNA-seq data?,"IPA was used for canonical and pathway analysis, evaluating the activation/inhibition of pathways and upstream regulators using log2-transformed fold changes."
How was scRNA-seq of mouse colons performed?,"scRNA-seq was done using the 3′ CellPlex Kit and Chromium instrument. Gene expression and multiplex libraries were prepared, and sequencing was performed on the NovaSeq 6000 system."
Describe the scRNA-seq analysis process.,"Raw scRNA-seq data were processed using CellRanger Count and the CellRanger Pipeline ‘multi’ function. Data were normalized, and principal component analysis was performed to remove batch effects."
What was the method for ChIP–seq data analysis?,ChIP–seq peaks files were downloaded and visualized using the Integrated Genome Viewer.
How was the gut microbiome analyzed using 16S sequencing?,"DNA was extracted from fecal samples, and the 16S rRNA gene V45 region was amplified by PCR. Sequencing was performed on the Illumina MiSeq instrument."
What was the normalization method for RNA-seq data?,RNA-seq data were normalized using TMM normalization and counts per million were calculated for creating a matrix of normalized expression values.
What bioinformatics tools were used for RNA-seq data alignment and quantification?,"STAR (v.2.7.3a), RSEM, and Kallisto were used for RNA-seq data alignment and quantification."
What software was used for generating heat maps from RNA-seq data?,"Heat maps were generated using the Gene-E program, with data being row-centred, log2-transformed and saturated at levels –1.0 and +1.0 for visualization."
What criteria were used for significance in pathway and statistical analysis?,Canonical pathways and upstream analysis metrics were considered significant at P < 0.05.
What tool was used for enrichment plots in scRNA-seq data analysis?,"GSEA (Broad Institute, v.4.2.1) was used to generate enrichment plots using Hallmark and Curated gene sets."
How was the scRNA-seq data of mouse colons processed for multiplexing?,"The 3′ CellPlex Kit was used for cell multiplexing, and cells were loaded onto a Chromium Next GEM Chip for processing."
What was the process for amplifying cDNA samples in scRNA-seq?,"cDNA samples were amplified using a PCR protocol, purified using SPRIselect reagent, and assessed on a Bioanalyzer."
Describe the quality control measures for scRNA-seq library preparation.,Libraries were assessed on a 2100 Bioanalyzer and quantified by qPCR to ensure quality before sequencing.
What was the source of the raw scRNA-seq data used in the analysis?,Raw scRNA-seq data were downloaded from Gene Expression Omnibus (GEO) and the Gut Atlas website.
How were scRNA-seq doublets detected and handled in the analysis?,"Scrublet was used to detect doublets in scRNA-seq samples, which were then removed before further analysis."
What criteria were used for filtering cells in the scRNA-seq analysis?,"Cells were filtered out if they had less than 500 or more than 2,500 genes detected, more than 10,000 transcripts, or more than 25% mitochondrial content."
How was batch effect removed in scRNA-seq analysis?,"Canonical correlation analysis and reciprocal principal analysis were used to remove batch effects, with the top 50 principal components used for UMAP and clustering."
What approach was used to study AHR signalling in scRNA-seq analysis?,"The AHR-signalling pathway gene set was used to calculate the module signature score in Seurat, and differential expression analysis was conducted using MAST."
What procedure was used for creating bone marrow chimeras for cDCs analysis?,Recipient mice were lethally irradiated with 9.5 Gy and then received an intravenous injection of 5 × 106 bone marrow cells from B6(Cg)-Zbtb46tm1(HBEGF)Mnz/J mice. They rested for 8 weeks before use.
How were bone marrow chimeras treated post-inoculation?,Bone marrow chimeras were inoculated intraperitoneally every other day for 2 weeks with 20 ng DTx per g body weight.
What was the process for sorting Pre-DCs in the study?,Pre-DCs from wild-type or Cebpb-deficient mice were sorted using various antibodies including Alexa 488 anti-mouse CX3CR1 and PE-Dazzle594 anti-mouse CD11c.
Describe the T cell transfer method used in the study.,"Rag1-deficient mice were reconstituted with 500,000 splenic T cells from wild-type or Cebpb-deficient mice intraperitoneally."
What was the statistical analysis method used in the study?,"Statistical analyses were performed using Prism software, utilizing unpaired t-tests, with P < 0.05 considered significant."
Where can the RNA-seq and scRNA-seq data from this study be found?,RNA-seq and scRNA-seq data have been deposited at the GEO database under accession numbers GSE194412 and GSE175766.
Where is the 16S rRNA-sequencing data from this study available?,The 16S rRNA-sequencing data is submitted to the NCBI sequence-read archive under BioProject number PRJNA804134.
How can the machine learning codes used in this study be accessed?,The machine learning codes for this study can be accessed at the QuintanaLab GitHub repository.
What was the source of bone marrow cells for creating chimeras?,Bone marrow cells for creating chimeras were isolated from the femora and tibiae of B6(Cg)-Zbtb46tm1(HBEGF)Mnz/J mice.
What was the duration of rest for bone marrow chimeras before their use in experiments?,Bone marrow chimeras were allowed to rest for 8 weeks before being used in experiments.
How were T cells confirmed in Rag1-deficient mice post-transplant?,T cell reconstitution was confirmed in peripheral blood of Rag1-deficient mice four weeks after the T cell transplant.
What are the characteristics of the mice used for T cell transfer experiments?,"Rag1-deficient mice were used for T cell transfer, and they were reconstituted with splenic T cells from either wild-type or Cebpb-deficient mice."
What is the purpose of the Nature Research Reporting Summary linked to the article?,The Nature Research Reporting Summary provides further information on the research design of the study.
What is indicated by error bars in the figures of this study?,All error bars in the figures of this study represent the standard error of the mean (s.e.m.).
What is the significance threshold for statistical analyses in this study?,A P-value of less than 0.05 was considered to be significant for the statistical analyses in this study.
What additional data is provided with the paper?,Source data for the study are provided with the paper.
How long after T cell transfer was TNBS colitis induced in mice?,TNBS colitis was induced in mice four weeks after the T cell transfer.
